"Story","Title","Result","Date","Stability","Duration (s)"
"Teacher Other Home Page","Header contains all necessary elements","SUCCESS","2018-05-03T19:11:43.746+03:00","0.0","13.19"
"Teacher Other Home Page","Left column contains all necessary elements","SUCCESS","2018-05-03T19:12:05.174+03:00","0.0","9.22"
"Teacher Other Home Page","Logout","SUCCESS","2018-05-03T19:11:56.979+03:00","0.0","8.13"
"Teacher Other Home Page","Recent Invites table contains all necessary elements","SUCCESS","2018-05-03T19:12:14.449+03:00","0.0","24.07"
"Teacher Other Home Page","Upcoming Supply Bookings table contains all necessary elements","SUCCESS","2018-05-03T19:10:52.233+03:00","0.0","18.68"
