"Story","Title","Result","Date","Stability","Duration (s)"
"Booking Creation","Create booking for agency","SUCCESS","2019-10-21T12:19:34.267+03:00[Europe/Zaporozhye]","0.0","239.91"
"Booking Creation","Accept booking as agency","SUCCESS","2019-10-21T12:23:34.467+03:00[Europe/Zaporozhye]","0.0","112.02"
"Booking Creation","Approve booking as school","SUCCESS","2019-10-21T12:25:26.639+03:00[Europe/Zaporozhye]","0.0","204.48"
"Booking Creation","Accept booking as agency and Decline booking as school","SUCCESS","2019-10-21T12:28:51.274+03:00[Europe/Zaporozhye]","0.0","284.0"
