"Story","Title","Result","Date","Stability","Duration (s)"
"Authorization page","School Authorization page","SUCCESS","2018-05-03T19:10:08.648+03:00","0.0","7.3"
"Authorization page","Teacher Authorization page","SUCCESS","2018-05-03T19:09:58.393+03:00","0.0","9.07"
