"Story","Title","Result","Date","Stability","Duration (s)"
"Booking Creation","Check required fields at the create booking step","SUCCESS","2019-07-17T19:16:10.448+03:00","0.0","46.83"
"Booking Creation","Create booking for first three teachers in the search result list","SUCCESS","2019-07-17T19:22:20.196+03:00","0.0","120.47"
