"Story","Title","Result","Date","Stability","Duration (s)"
"Teacher Other Home Page","Header contains all necessary elements","SUCCESS","2018-05-31T19:45:19.303+03:00","0.0","14.99"
"Teacher Other Home Page","Left column contains all necessary elements","SUCCESS","2018-05-31T19:45:44.206+03:00","0.0","9.76"
"Teacher Other Home Page","Logout","SUCCESS","2018-05-31T19:45:34.848+03:00","0.0","9.31"
"Teacher Other Home Page","Recent Invites table contains all necessary elements","SUCCESS","2018-05-31T19:45:54.004+03:00","0.0","19.47"
"Teacher Other Home Page","Recent active bookings  table contains all necessary elements","SUCCESS","2018-05-31T19:46:13.574+03:00","0.0","14.43"
